speakername,party 
สมศักดิ์ เกียรติสุรนนท์,พรรคเพื่อไทย
นวัธ เตาะเจริญสุข,พรรคเพื่อไทย
ดวงแข อรรณนพพร,พรรคเพื่อไทย
ร้อยโทปรีชาพล พงษ์พานิช,พรรคเพื่อไทย
เรืองเดช สุพรรณฝ่าย,พรรคเพื่อไทย
โอชิษฐ์ เกียรติก้องชูชัย,พรรคภูมิใจไทย
มานะ โลหะวณิชย์,พรรคเพื่อไทย
ปาริชาติ ชาลีเครือ,พรรคเพื่อไทย
อนันต์ ลิมปคุปตถาวร,พรรคเพื่อไทย
เจริญ จรรย์โกมล,พรรคเพื่อไทย
พรเพ็ญ บุญศิริวัฒนกุล,พรรคเพื่อไทย
สุรวิทย์ คนสมบูรณ์,พรรคเพื่อไทย
ยุทธจักร เรืองวรบูรณ์,พรรคเพื่อไทย
มนพร เจริญศรี,พรรคเพื่อไทย
ไพจิต ศรีวรขาน,พรรคเพื่อไทย
ชูกัน กุลวงษา,พรรคเพื่อไทย
วรรณรัตน์ ชาญนุกูล,พรรคชาติพัฒนา
วัชรพล โตมรศักดิ์,พรรคชาติพัฒนา
ประเสริฐ บุญชัยสุข,พรรคชาติพัฒนา
ทัศนียา รัตนเศรษฐ,พรรคเพื่อไทย
โกศล ปัทมะ,พรรคเพื่อไทย
สุชาติ ภิญโญ,พรรคเพื่อไทย
อธิรัฐ รัตนเศรษฐ,พรรคเพื่อไทย
จรูญพงศ์ พันธุ์ศรีนคร,พรรคเพื่อไทย
พลพีร์ สุวรรณฉวี,พรรคชาติพัฒนา
บุญจง วงศ์ไตรรัตน์,พรรคภูมิใจไทย
สัมภาษณ์ อัตถาวงศ์,พรรคเพื่อไทย
ประนอม โพธิ์คำ,พรรคภูมิใจไทย
ศิรสิทธิ์ เลิศด้วยลาภ,พรรคเพื่อไทย
ประเสริฐ จันทรรวงทอง,พรรคเพื่อไทย
วิสิทธิ์ พิทยาภรณ์,พรรคภูมิใจไทย
เชิดพงศ์ ราชป้องขันธ์,พรรคเพื่อไทย
ไตรรงค์ ติธรรม,พรรคเพื่อไทย
สนอง เทพอักษรณรงค์,พรรคภูมิใจไทย
รังสิกร ทิมาตฤกะ,พรรคภูมิใจไทย
โสภณ ซารัมย์,พรรคภูมิใจไทย
อารีญาภรณ์ ซารัมย์,พรรคภูมิใจไทย
มนต์ไชย ชาติวัฒนศิริ,พรรคภูมิใจไทย
พรชัย ศรีสุริยันโยธิน,พรรคเพื่อไทย
หนูแดง วรรณกางซ้าย,พรรคเพื่อไทย
รุ่งโรจน์ ทองศรี,พรรคภูมิใจไทย
จักรกฤษณ์ ทองศรี,พรรคภูมิใจไทย
สุรจิตร ยนต์ตระกูล,พรรคเพื่อไทย
ไชยวัฒน์ ติณรัตน์,พรรคเพื่อไทย
ยุทธพงศ์ จรัสเสถียร,พรรคเพื่อไทย
จิรวัฒน์ ศิริพานิชย์,พรรคเพื่อไทย
กุสุมาลวตี ศิริโกมุท,พรรคเพื่อไทย
อนุรักษ์ ตั้งปณิธานนท์,พรรคเพื่อไทย
บุญฐิน ประทุมลี,พรรคเพื่อไทย
ปิยวัฒน พันธ์สายเชื้อ,พรรคเพื่อไทย
บุญแก้ว สมวงศ์,พรรคเพื่อไทย
พีรพันธุ์ พาลุสุข,พรรคเพื่อไทย
วราวงษ์ พันธุ์ศิลา,พรรคเพื่อไทย
ฉลาด ขามช่วง,พรรคเพื่อไทย
นิรมิต สุจารี,พรรคเพื่อไทย
นิรันดร์ นาเมืองรักษ์,พรรคเพื่อไทย
เอมอร สินธุไพร,พรรคเพื่อไทย
กิตติ สมทรัพย์,พรรคเพื่อไทย
ศักดา คงเพชร,พรรคเพื่อไทย
เศกสิทธิ์ ไวนิยมพงศ์,พรรคเพื่อไทย
ปรีชา เร่งสมบูรณ์สุข,พรรคเพื่อไทย
นันทนา ทิมสุวรรณ,พรรคเพื่อไทย
เปล่งมณี เร่งสมบูรณ์สุข,พรรคเพื่อไทย
วันชัย บุษบา,พรรคเพื่อไทย
ธเนศ เครือรัตน์,พรรคเพื่อไทย
สุรชาติ ชาญประดิษฐ์,พรรคเพื่อไทย
อุดมลักษณ์ เพ็งนรพัฒน์,พรรคภูมิใจไทย
วิวัฒน์ชัย โหตระไวศยะ,พรรคเพื่อไทย
ธีระ ไตรสรณกุล,พรรคเพื่อไทย
วีระพล จิตสัมฤทธิ์,พรรคเพื่อไทย
มานพ จรัสดำรงนิตย์,พรรคเพื่อไทย
ปวีณ แซ่จึง,พรรคเพื่อไทย
อภิชาติ ตีรสวัสดิชัย,พรรคเพื่อไทย
นิยม เวชกามา,พรรคเพื่อไทย
นริศร ทองธิราช,พรรคเพื่อไทย
พัฒนา สัพโส,พรรคเพื่อไทย
อนุรักษ์ บุญศล,พรรคเพื่อไทย
เสรี สาระนันท์,พรรคเพื่อไทย
เกษม อุประ,พรรคเพื่อไทย
ปกรณ์ มุ่งเจริญพร,พรรคภูมิใจไทย
ปิยะดา มุ่งเจริญพร,พรรคเพื่อไทย
คุณากร ปรีชาชนะชัย,พรรคเพื่อไทย
ตี๋ใหญ่ พูนศรีธนากูล,พรรคเพื่อไทย
ครูมานิตย์ สังข์พุ่ม,พรรคเพื่อไทย
จ่าสิบตำรวจประสิทธิ์ ไชยศีรษะ,พรรคเพื่อไทย
สมบัติ ศรีสุรินทร์,พรรคเพื่อไทย
ชูศักดิ์ แอกทอง,พรรคเพื่อไทย
ว่าที่ร้อยตรีพงศ์พันธ์ สุนทรชัย,พรรคเพื่อไทย
สมคิด บาลไธสง,พรรคเพื่อไทย
ชมภู จันทาทอง,พรรคเพื่อไทย
พิษณุ หัตถสงเคราะห์,พรรคเพื่อไทย
ไชยา พรหมา,พรรคเพื่อไทย
วิชัย สามิตร,พรรคเพื่อไทย
ศราวุธ เพชรพนมพร,พรรคเพื่อไทย
พันตำรวจโทสุรทิน พิมานเมฆินทร์,พรรคเพื่อไทย
อนันต์ ศรีพันธุ์,พรรคเพื่อไทย
ขจิตร ชัยนิคม,พรรคเพื่อไทย
ทองดี มนิสสาร,พรรคเพื่อไทย
เกียรติ์อุดม เมนะสวัสดิ์,พรรคเพื่อไทย
จักรพรรดิ ไชยสาส์น,พรรคเพื่อไทย
เกรียงศักดิ์ ฝ้ายสีงาม,พรรคเพื่อไทย
เทียบจุฑา ขาวขำ,พรรคเพื่อไทย
วรสิทธิ์ กัลป์ตินันท์,พรรคเพื่อไทย
ศุภชัย ศรีหล้า,พรรคประชาธิปัตย์
วุฒิพงษ์ นามบุตร,พรรคประชาธิปัตย์
สุพล ฟองงาม,พรรคเพื่อไทย
สุทธิชัย จรูญเนตร,พรรคเพื่อไทย
พิสิษฐ์ สันตพันธุ์,พรรคเพื่อไทย
ชูวิทย์ พิทักษ์พรพัลลภ,พรรคเพื่อไทย
บุณย์ธิดา สมชัย,พรรคประชาธิปัตย์
ปัญญา จินตะเวช,พรรคเพื่อไทย
สมคิด เชื้อคง,พรรคเพื่อไทย
