speakername,party
ยอดยิ่ง แสนยากุล,พรรคพลังท้องถิ่นไท
สิทธิพงศ์ วงศ์เลิศศักดิ์,พรรคพลังท้องถิ่นไท
ศิริรัตน์ สุขสนาน,พรรคพลังท้องถิ่นไท
จารึก ศรีอ่อน,พรรคพลังท้องถิ่นไท
กวินนาถ ตาคีย์,พรรคพลังท้องถิ่นไท
ระวี มาศฉมาดล,พรรคพลังธรรมใหม่
กานต์กนิษฐ์ แห้วสันตติ,พรรคพลังประชารัฐ
พัชรินทร์ ซำศิริพงษ์,พรรคพลังประชารัฐ
กรณิศ งามสุคนธ์รัตนา,พรรคพลังประชารัฐ
ภาดาท์ วรกานนท์,พรรคพลังประชารัฐ
ธณิกานต์ พรพงษาโรจน์,พรรคพลังประชารัฐ
กษิดิ์เดช ชุติมันต์,พรรคพลังประชารัฐ
สิระ เจนจาคะ,พรรคพลังประชารัฐ
ฐิติภัสร์ โชติเดชาชัยนันต์,พรรคพลังประชารัฐ
ชาญวิทย์ วิภูศิริ,พรรคพลังประชารัฐ
ศิริพงษ์ รัสมี,พรรคพลังประชารัฐ
ประสิทธิ์ มะหะหมัด,พรรคพลังประชารัฐ
จักรพันธ์ พรนิมิตร,พรรคพลังประชารัฐ
ไผ่ ลิกค์,พรรคพลังประชารัฐ
พันตำรวจโท ไวพจน์ อาภรณ์รัตน์,พรรคพลังประชารัฐ
เพชรภูมิ อาภรณ์รัตน์,พรรคพลังประชารัฐ
อนันต์ ผลอำนวย,พรรคพลังประชารัฐ
ปริญญา ฤกษ์หร่าย,พรรคพลังประชารัฐ
อนุชา นาคาศัย,พรรคพลังประชารัฐ
มณเฑียร สงฆ์ประชา,พรรคพลังประชารัฐ
ปฐมพงศ์ สูญจันทร์,พรรคพลังประชารัฐ
ภิญโญ นิโรจน์,พรรคพลังประชารัฐ
วีระกร คำประกอบ,พรรคพลังประชารัฐ
สัญญา นิลสุพรรณ,พรรคพลังประชารัฐ
นิโรธ สุนทรเลขา,พรรคพลังประชารัฐ
เจริญ เรี่ยวแรง,พรรคพลังประชารัฐ
พรชัย อินทร์สุข,พรรคพลังประชารัฐ
ภูดิท อินสุวรรณ์,พรรคพลังประชารัฐ
สุรชาติ ศรีบุศกร,พรรคพลังประชารัฐ
อนุชา น้อยวงศ์,พรรคพลังประชารัฐ
มานัส อ่อนอ้าย,พรรคพลังประชารัฐ
พิมพ์พร พรพฤฒิพันธุ์,พรรคพลังประชารัฐ
จักรัตน์ พั้วช่วย,พรรคพลังประชารัฐ
วันเพ็ญ พร้อมพัฒน์,พรรคพลังประชารัฐ
สุรศักดิ์ อนรรฆพันธ์,พรรคพลังประชารัฐ
เอี่ยม ทองใจสด,พรรคพลังประชารัฐ
ประทวน สุทธิอำนวยเดช,พรรคพลังประชารัฐ
อัครวัฒน์ อัศวเหม,พรรคพลังประชารัฐ
ยงยุทธ สุวรรณบุตร,พรรคพลังประชารัฐ
ภริม พูลเจริญ,พรรคพลังประชารัฐ
กรุงศรีวิไล สุทินเผือก,พรรคพลังประชารัฐ
