speaker name ,party
นันทนา ทิมสุวรรณ,พรรคไทยรักไทย
ปรีชา เร่งสมบูรณ์สุข,พรรคไทยรักไทย
จันทร์เพ็ญ แสงเจริญรัตน์,พรรคไทยรักไทย
ธเนศ เครือรัตน์,พรรคไทยรักไทย
พิทยา บุญเฉลียว,พรรคไทยรักไทย
วิวัฒน์ชัย โหตระไวศยะ,พรรคไทยรักไทย
จาตุรงค์ เพ็งนรพัฒน์,พรรคไทยรักไทย
อมรเทพ สมหมาย,พรรคไทยรักไทย
วีระพล จิตสัมฤทธิ์,พรรคชาติไทย
มาลินี อินฉัตร,พรรคไทยรักไทย
มานพ จรัสดำรงนิตย์,พรรคไทยรักไทย
ปวีณ แซ่จึง,พรรคไทยรักไทย
อภิชาติ ตีรสวัสดิชัย,พรรคไทยรักไทย
เฉลิมชัย อุฬารกุล,พรรคไทยรักไทย
เฉลิมชาติ การุญ,พรรคไทยรักไทย
สาคร พรหมภักดี,พรรคไทยรักไทย
พงษ์ศักดิ์ บุญศล,พรรคไทยรักไทย
เสรี สาระนันท์,พรรคไทยรักไทย
เกษม อุประ,พรรคไทยรักไทย
ชูชัย มุ่งเจริญพร,พรรคไทยรักไทย
เกษม รุ่งธนเกียรติ,พรรคไทยรักไทย
ฟาริดา สุไลมาน,พรรคไทยรักไทย
ธีระทัศน์ เตียวเจริญโสภา,พรรคไทยรักไทย
ประดุจ มั่นหมาย,พรรคไทยรักไทย
ศุภรักษ์ ควรหา,พรรคไทยรักไทย
มานิตย์ สังข์พุ่ม,พรรคไทยรักไทย
สุริยะ ร่วมพัฒนา,พรรคชาติไทย
ตี๋ใหญ่ พูนศรีธนากูล,พรรคไทยรักไทย
ว่าที่ร้อยตรีพงศ์พันธ์ สุนทรชัย,พรรคไทยรักไทย
ประสิทธิ์ จันทาทอง,พรรคไทยรักไทย
เอกธนัช อินทร์รอด,พรรคไทยรักไทย
เทวฤทธิ์ นิกรเทศ,พรรคไทยรักไทย
สงกรานต์ คำพิไสย์,พรรคไทยรักไทย
นิพนธ์ คนขยัน,พรรคไทยรักไทย
กิตติศักดิ์ หัตถสงเคราะห์,พรรคไทยรักไทย
ไชยา พรหมา,พรรคไทยรักไทย
วิชัย สามิตร,พรรคไทยรักไทย
ศราวุธ เพชรพนมพร,พรรคไทยรักไทย
อรรถพล สนิทวงศ์ชัย,พรรคไทยรักไทย
ธิรดา สนิทวงศ์ชัย,พรรคไทยรักไทย
วิชัย ชัยจิตวณิชกุล,พรรคไทยรักไทย
ธีระยุทธ วานิชชัง,พรรคไทยรักไทย
รสพิมล จิรเมธากร,พรรคไทยรักไทย
ทองดี มนิสสาร,พรรคไทยรักไทย
ธีระชัย แสนแก้ว,พรรคไทยรักไทย
ต่อพงษ์ ไชยสาส์น,พรรคไทยรักไทย
ธราพงษ์ สีลาวงษ์,พรรคไทยรักไทย
สุรชาติ ชำนาญศิลป์,พรรคไทยรักไทย
เกรียง กัลป์ตินันท์,พรรคไทยรักไทย
สมบัติ รัตโน,พรรคไทยรักไทย
วิฑูรย์ นามบุตร,พรรคประชาธิปัตย์
สุพล ฟองงาม,พรรคไทยรักไทย
รัฐกิตติ์ ผาลีพัฒน์,พรรคชาติไทย
อุดร ทองประเสริฐ,พรรคไทยรักไทย
อดิศักดิ์ โภคกุลกานนท์,พรรคไทยรักไทย
อิสสระ สมชัย,พรรคประชาธิปัตย์
สุชาติ ตันติวณิชชานนท์,พรรคไทยรักไทย
กิตติพงษ์ เทียมสุวรรณ,พรรคไทยรักไทย
ตุ่น จินตะเวช,พรรคมหาชน
ธีระชัย ศิริขันธ์,พรรคไทยรักไทย
ชัยศรี กีฬา,พรรคไทยรักไทย
อาคม เอ่งฉ้วน,พรรคประชาธิปัตย์
พิเชษฐ พันธุ์วิชาติกุล,พรรคประชาธิปัตย์
ศิริศักดิ์ อ่อนละมัย,พรรคประชาธิปัตย์
สุวโรช พะลัง,พรรคประชาธิปัตย์
ธีระชาติ ปางวิรุฬรักษ์,พรรคประชาธิปัตย์
สุวรรณ กู้สุจริต,พรรคประชาธิปัตย์
สาทิตย์ วงศ์หนองเตย,พรรคประชาธิปัตย์
สมชาย โล่สถาพรพิพิธ,พรรคประชาธิปัตย์
สมบูรณ์ อุทัยเวียนกุล,พรรคประชาธิปัตย์
สุรินทร์ พิศสุวรรณ,พรรคประชาธิปัตย์
สุรเชษฐ์ มาศดิตถ์,พรรคประชาธิปัตย์
นริศา อดิเทพวรพันธุ์,พรรคประชาธิปัตย์
มาโนชญ์ วิชัยกุล,พรรคประชาธิปัตย์
ชินวรณ์ บุณยเกียรติ,พรรคประชาธิปัตย์
เทพไท เสนพงศ์,พรรคประชาธิปัตย์
ประกอบ รัตนพันธ์,พรรคประชาธิปัตย์
อภิชาต ศักดิเศรษฐ์,พรรคประชาธิปัตย์
อภิชาต การิกาญจน์,พรรคประชาธิปัตย์
วิทยา แก้วภราดัย,พรรคประชาธิปัตย์
เจะอามิง โตะตาหยง,พรรคประชาธิปัตย์
สุรเชษฐ์ แวอาแซ,พรรคประชาธิปัตย์
กูเฮง ยาวอหะซัน,พรรคชาติไทย
อดุลย์ สาฮีบาตู,พรรคประชาธิปัตย์
อันวาร์ สาและ,พรรคประชาธิปัตย์
อิสมาแอล เบญอิบรอฮีม,พรรคประชาธิปัตย์
ว่าที่ร้อยตรีโมฮามัดยาสรี ยูซง,พรรคประชาธิปัตย์
ซาตา อาแวกือจิ,พรรคประชาธิปัตย์
กันตวรรณ ตันเถียร กุลจรรยาวิวัฒน์,พรรคประชาธิปัตย์
