"names","parties"
"เรืออากาศโท ธนเดช  เพ็งสุข","พรรคก้าวไกล"
"นายธนพัฒน์  ศรีชนะ","พรรคภูมิใจไทย"
"นายธนยศ  ทิมสุวรรณ","พรรคภูมิใจไทย"
"นายธนา  กิจไพบูลย์ชัย","พรรคภูมิใจไทย"
"นายธนาธร  โล่ห์สุนทร","พรรคเพื่อไทย"
"นายธเนศ  เครือรัตน์","พรรคเพื่อไทย"
"นายธรรมนัส  พรหมเผ่า","พรรคพลังประชารัฐ"
"นายธัญธร  ธนินวัฒนาธร","พรรคก้าวไกล"
"นางสาวธัญธารีย์  สันตพันธุ์","พรรคเพื่อไทย"
"นายธัญวัจน์  กมลวงศ์วัฒน์","พรรคก้าวไกล"
"นายธานินท์  นวลวัฒน์","พรรครวมไทยสร้างชาติ"
"นางธิวัลรัตน์  อังกินันทน์","พรรครวมไทยสร้างชาติ"
"นางสาวธิษะณา  ชุณหะวัณ","พรรคก้าวไกล"
"นางสาวธีรรัตน์  สำเร็จวาณิชย์","พรรคเพื่อไทย"
"นายธีระชัย  แสนแก้ว","พรรคเพื่อไทย"
"นายธีรัจชัย  พันธุมาศ","พรรคก้าวไกล"
"นายพงศธร  ศรเพชรนรินทร์","พรรคก้าวไกล"
"นายนนท์  ไพศาลลิ้มเจริญกิจ","พรรคก้าวไกล"
"นายนพดล  ทิพยชล","พรรคก้าวไกล"
"นายนพดล  ปัทมะ","พรรคเพื่อไทย"
"นายนพดล  มาตรศรี","พรรคชาติไทยพัฒนา"
"นายนพพล  เหลืองทองนารา","พรรคเพื่อไทย"
"นายนรเสฎฐ์  ศิริโรจนกุล","พรรคเพื่อไทย"
"นายนรากร  นาเมืองรักษ์","พรรคเพื่อไทย"
"นายนรินทร์  คลังผา","พรรคภูมิใจไทย"
"นายนเรศ  ธำรงค์ทิพยคุณ","พรรคพลังประชารัฐ"
"นายนิกร  โสมกลาง","พรรคเพื่อไทย"
"นายนิคม  บุญวิเศษ","พรรคเพื่อไทย"
"นางสาวนิตยา  มีศรี","พรรคก้าวไกล"
"นายนิติพล  ผิวเหมาะ","พรรคก้าวไกล"
"นายนิติศักดิ์  ธรรมเพชร","พรรครวมไทยสร้างชาติ"
"นายนิพนธ์  คนขยัน","พรรคเพื่อไทย"
"นายนิยม  วิวรรธนดิฐกุล","พรรคเพื่อไทย"
"นางนุชนาถ  จารุวงษ์เสถียร","พรรคเพื่อไทย"
"นางสาวแนน บุณย์ธิดา  สมชัย","พรรคภูมิใจไทย"
"นายบัญชา  เดชเจริญศิริกุล","พรรคท้องที่ไทย"
"นายบัญญัติ  บรรทัดฐาน","พรรคประชาธิปัตย์"
"นายบุญแก้ว  สมวงศ์","พรรคเพื่อไทย"
"นายบุญชัย  กิตติธาราทรัพย์","พรรคพลังประชารัฐ"
"นางบุญยิ่ง  นิติกาญจนา","พรรคพลังประชารัฐ"
"นายบุญเลิศ  แสงพันธุ์","พรรคก้าวไกล"
"นางสาวเบญจา  แสงจันทร์","พรรคก้าวไกล"
"นายปกรณ์  จีนาคำ","พรรคพลังประชารัฐ"
"นายปกรณ์  มุ่งเจริญพร","พรรคภูมิใจไทย"
"นายปกรณ์วุฒิ  อุดมพิพัฒน์สกุล","พรรคก้าวไกล"
"นายปดิพัทธ์  สันติภาดา","พรรคเป็นธรรม"
"นางปทิดา  ตันติรัตนานนท์","พรรคภูมิใจไทย"
"นายปรเมษฐ์  จินา","พรรครวมไทยสร้างชาติ"
"นายประดิษฐ์  สังขจาย","พรรคภูมิใจไทย"
"นายประภัตร  โพธสุธน","พรรคชาติไทยพัฒนา"
"นางสาวประภา  เฮงไพบูลย์","พรรคภูมิใจไทย"
"นางสาวประภาพร  ทองปากน้ำ","พรรคเพื่อไทย"
"นายประมวล  พงศ์ถาวราเดช","พรรคประชาธิปัตย์"
"นายประยุทธ์  ศิริพานิชย์","พรรคเพื่อไทย"
"พลเอก ประวิตร  วงษ์สุวรรณ","พรรคพลังประชารัฐ"
"นางสาวประวีณ์นุช  เลิศจิตติสุทธิ์","พรรคเพื่อไทย"
"นายประสาท  ตันประเสริฐ","พรรคชาติพัฒนากล้า"
"นายประสิทธิ์  ปัทมผดุงศักดิ์","พรรคก้าวไกล"
"นางสาวละออง  ติยะไพรัช","พรรคเพื่อไทย"
"นายประเสริฐ  บุญเรือง","พรรคเพื่อไทย"
"นายประเสริฐพงษ์  ศรนุวัตร์","พรรคก้าวไกล"
"นางสาวปรัชญาวรรณ  ไชยสืบ","พรรคก้าวไกล"
"นายปริญญา  ฤกษ์หร่าย","พรรคพลังประชารัฐ"
"นายปรีดา  บุญเพลิง","พรรคครูไทยเพื่อประชาชน"
"นายปรีติ  เจริญศิลป์","พรรคก้าวไกล"
"นางสาวปวิตรา  จิตตกิจ","พรรคก้าวไกล"
"นางปัญญารัตน์  นันทภูษิตานนท์","พรรคก้าวไกล"
"นายปารมี  ไวจงเจริญ","พรรคก้าวไกล"
"นายปารเมศ  วิทยารักษ์สรรค์","พรรคก้าวไกล"
"นายปิยชาติ  รุจิพรวศิน","พรรคก้าวไกล"
"นายปิยรัฐ  จงเทพ","พรรคก้าวไกล"
"นางสาวปิยะนุช  ยินดีสุข","พรรคเพื่อไทย"
"นางสาวปิยะรัฐชย์  ติยะไพรัช","พรรคเพื่อไทย"
"นางสาวผกามาศ  เจริญพันธ์","พรรคภูมิใจไทย"
"นายไผ่  ลิกค์","พรรคพลังประชารัฐ"
"นายพงศ์พันธ์  ยอดเมืองเจริญ","พรรคก้าวไกล"
"นายพงษ์มนู  ทองหนัก","พรรครวมไทยสร้างชาติ"
"นายพชร  จันทรรวงทอง","พรรคเพื่อไทย"
"นายพนม  โพธิ์แก้ว","พรรคเพื่อไทย"
"นางสาวพนิดา  มงคลสวัสดิ์","พรรคก้าวไกล"
"นายพรชัย  ศรีสุริยันโยธิน","พรรคภูมิใจไทย"
"นายพรเทพ  พูนศรีธนากูล","พรรคเพื่อไทย"
"นายพรเทพ  ศิริโรจนกุล","พรรคเพื่อไทย"
"นางพรรณสิริ  กุลนาถศิริ","พรรคเพื่อไทย"
"นายพริษฐ์  วัชรสินธุ","พรรคก้าวไกล"
"นายพลพีร์  สุวรรณฉวี","พรรคภูมิใจไทย"
"นายพลากร  พิมพะนิตย์","พรรคเพื่อไทย"
"นายพัฒนา  สัพโส","พรรคเพื่อไทย"
"นายพันธ์ศักดิ์  บุญแทน","พรรครวมไทยสร้างชาติ"
"นายพาณุวัฒณ์  สะสมทรัพย์","พรรคชาติไทยพัฒนา"
"นางพิชชารัตน์  เลาหพงศ์ชนะ","พรรครวมไทยสร้างชาติ"
"นายพิชัย  แจ้งจรรยาวงศ์","พรรคก้าวไกล"
"นายพิชัย  ชมภูพล","พรรคภูมิใจไทย"
"นายพิเชษฐ์  เชื้อเมืองพาน","พรรคเพื่อไทย"
"นายพิทักษ์เดช  เดชเดโช","พรรคประชาธิปัตย์"
"นายพิธา  ลิ้มเจริญรัตน์","พรรคก้าวไกล"
"นายพิบูลย์  รัชกิจประการ","พรรคภูมิใจไทย"
"นายพิพิธ  รัตนรักษ์","พรรครวมไทยสร้างชาติ"
"นางสาวพิมพ์กาญจน์  กีรติวิราปกรณ์","พรรคก้าวไกล"
"นางพิมพกาญจน์  พลสมัคร","พรรคเพื่อไทรวมพลัง"
"นางสาวพิมพ์พร  พรพฤฒิพันธุ์","พรรคพลังประชารัฐ"
"นางสาวพิมพ์พิชชา  ชัยศุภกิจเจริญ","พรรคเพื่อไทย"
"นางสาวพิมพ์ภัทรา  วิชัยกุล","พรรครวมไทยสร้างชาติ"
"นางสาวพิมพฤดา  ตันจรารักษ์","พรรคภูมิใจไทย"
"พลเอก พิศาล  วัฒนวงษ์คีรี","พรรคเพื่อไทย"
"นายพีระเดช  ศิริวันสาณฑ์","พรรคภูมิใจไทย"
"นายอนุชา  บูรพชัยศรี","พรรครวมไทยสร้างชาติ"
"นางสาวพุธิตา  ชัยอนันต์","พรรคก้าวไกล"
"นายพูนศักดิ์  จันทร์จำปี","พรรคก้าวไกล"
"นายเพชรภูมิ  อาภรณ์รัตน์","พรรคพลังประชารัฐ"
"นางสาวเพชรรัตน์  ใหม่ชมภู","พรรคก้าวไกล"
"นายไพโรจน์  โล่ห์สุนทร","พรรคเพื่อไทย"
"นางสาวภคมน  หนุนอนันต์","พรรคก้าวไกล"
"นายภราดร  ปริศนานันทกุล","พรรคภูมิใจไทย"
